品种代码,合约类型,持仓周期,VIX平滑窗口,VIX分位数参数组合,VIX状态检视周期,标的均线参数组合,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,strategy
CU,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",0.918723533,0.099160431,0.10793283,0.099557657,0.99601009,merge
CU,虚值一档,inf,20,"(0.45, 0.1)",10,"(5, 10)",0.661115567,0.055650406,0.084176518,0.095320334,0.583825132,merge
CU,平值期权,inf,20,"(0.45, 0.1)",10,"(5, 10)",0.615227406,0.062434698,0.10148231,0.119868871,0.520858318,merge
CU,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.566880983,0.054119632,0.095469126,0.095751305,0.565210382,merge
CU,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.44235395,0.0503636,0.113853623,0.123955086,0.40630523,merge
C,虚值一档,inf,20,"(0.75, 0.55)",10,"(10, 15)",0.599338846,0.040730862,0.067959657,0.084482802,0.482120166,merge
C,平值期权,inf,20,"(0.75, 0.55)",10,"(10, 15)",0.623822262,0.043621819,0.069926679,0.089035537,0.489937174,merge
C,虚值一档,inf,20,"(0.75, 0.55)",10,"(10, 20)",0.634888158,0.042130184,0.066358434,0.068444872,0.615534554,merge
C,平值期权,inf,20,"(0.75, 0.55)",10,"(10, 20)",0.75528456,0.057132166,0.075643233,0.076661905,0.745248445,merge
C,虚值一档,inf,20,"(0.75, 0.55)",10,"(5, 20)",0.595000774,0.042227119,0.070969856,0.078342935,0.539003536,merge
C,平值期权,inf,20,"(0.75, 0.55)",10,"(5, 20)",0.673591115,0.049723864,0.073819062,0.078749088,0.631421459,merge
B,虚值一档,inf,20,"(0.65, 0.35)",10,"(5, 10)",-1.084720759,-0.087369653,0.080545755,0.03226066,-2.708241364,merge
B,平值期权,inf,20,"(0.65, 0.35)",10,"(5, 10)",-0.730681876,-0.066771516,0.091382472,0.031380588,-2.127796831,merge
