品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,均线回望窗口,use_vix
AU,虚值一档,1.346140649,0.056607134,0.042051426,0.040247366,1.406480456,5,TRUE
AU,平值期权,1.917014307,0.063311767,0.033026236,0.038092065,1.662072308,5,TRUE
B,虚值一档,2.382193401,0.203334298,0.085355915,0.012105741,16.79651864,5,TRUE
B,平值期权,2.550488935,0.221005061,0.086652037,0.012218734,18.08739451,5,TRUE
C,虚值一档,0.773031181,0.016285137,0.021066598,0.022836499,0.713118823,5,TRUE
C,平值期权,0.468825801,0.011100045,0.023676267,0.024766846,0.448181614,5,TRUE
CU,虚值一档,0.52751271,0.034883391,0.066128057,0.106892547,0.32634072,5,TRUE
CU,平值期权,0.521239843,0.036050318,0.069162629,0.116582868,0.309224831,5,TRUE
I,虚值一档,-0.566684175,-0.076697683,0.135344671,0.288960706,-0.265425996,5,TRUE
I,平值期权,-0.411782766,-0.054918712,0.133368165,0.245649719,-0.223565132,5,TRUE
L,虚值一档,0.499686912,0.032125414,0.064291085,0.084890607,0.378433081,5,TRUE
L,平值期权,1.099795363,0.070115278,0.063753022,0.071962723,0.974327752,5,TRUE
M,虚值一档,-0.684154631,-0.045766669,0.066895212,0.119745372,-0.382199903,5,TRUE
M,平值期权,-0.749277711,-0.049439899,0.065983411,0.128893975,-0.383570288,5,TRUE
P,虚值一档,-0.924708367,-0.144113038,0.155847014,0.358396593,-0.402104932,5,TRUE
P,平值期权,-1.265913797,-0.130704979,0.10324951,0.255981858,-0.510602509,5,TRUE
PG,虚值一档,0.318135928,0.047366708,0.148888269,0.154579349,0.306423257,5,TRUE
PG,平值期权,0.568478614,0.061487801,0.10816203,0.128927497,0.476917668,5,TRUE
PP,虚值一档,0.239884419,0.02104179,0.087716367,0.102464412,0.205357053,5,TRUE
PP,平值期权,0.330534698,0.029413018,0.088986173,0.096136152,0.305951687,5,TRUE
RB,虚值一档,4.491741014,0.110560606,0.024614199,0.003839529,28.79535631,5,TRUE
RB,平值期权,4.948309567,0.11771078,0.023788079,0.003360831,35.02430632,5,TRUE
RU,虚值一档,0.359769347,0.017860216,0.049643519,0.068117047,0.262198921,5,TRUE
RU,平值期权,0.316427369,0.01590779,0.050273116,0.064361193,0.247164308,5,TRUE
SC,虚值一档,0.698834368,0.087978829,0.125893678,0.112899487,0.779266856,5,TRUE
SC,平值期权,0.789212652,0.101310397,0.128368947,0.114153597,0.887491937,5,TRUE
V,虚值一档,-0.211580562,-0.020621771,0.097465339,0.167282011,-0.123275486,5,TRUE
V,平值期权,0.164770018,0.015895492,0.096470781,0.129354901,0.122882799,5,TRUE
Y,虚值一档,1.194693429,0.073447543,0.061478151,0.022782442,3.223866101,5,TRUE
Y,平值期权,0.835235055,0.041148524,0.049265801,0.030749922,1.33816675,5,TRUE
ZN,虚值一档,0.335917333,0.038576068,0.114837979,0.142725193,0.270282119,5,TRUE
ZN,平值期权,0.317623457,0.032667837,0.102850833,0.152992705,0.213525456,5,TRUE
