品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,布林带计算回望窗口,布林带标准倍数,持有天数,平值期权变动检视天数,波动率水平检视天数,signal_type,vix_position_control,均线参数组合,use_vix,use_vix_call_and_vix_put
AU,虚值一档,1.177306082,0.096176478,0.081691991,0.096828946,0.993261638,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
AU,平值期权,1.104874007,0.090630632,0.082028024,0.092897753,0.975595524,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
B,虚值一档,0.528651084,0.072915183,0.137926859,0.035821378,2.035521472,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
B,平值期权,0.387001736,0.056693347,0.146493779,0.039601617,1.431591712,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
C,虚值一档,-0.621224814,-0.077361203,0.124530124,0.287720823,-0.268875927,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
C,平值期权,-0.664623078,-0.165032493,0.248309904,0.495981445,-0.332739247,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
CU,虚值一档,0.314216407,0.06457926,0.205524788,0.248191336,0.260199495,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
CU,平值期权,0.364322317,0.071203664,0.195441402,0.235157036,0.302791979,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
I,虚值一档,-0.058373213,-0.020587422,0.352686125,0.492095216,-0.041836258,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
I,平值期权,0.348714188,0.133717152,0.383457734,0.26701073,0.500793179,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
L,虚值一档,1.422280377,0.224942969,0.158156558,0.13433259,1.674522678,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
L,平值期权,1.429501933,0.208464921,0.145830457,0.144220479,1.445459914,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
M,虚值一档,0.031054918,0.006414068,0.20653954,0.349230299,0.0183663,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
M,平值期权,-0.073952189,-0.014913604,0.20166548,0.37036594,-0.040267212,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
P,虚值一档,-0.830803791,-0.257156216,0.309527013,0.609020291,-0.422245728,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
P,平值期权,-0.709544505,-0.209272433,0.294939121,0.581513293,-0.359875578,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
PG,虚值一档,-0.030045349,-0.009369166,0.311834145,0.276658929,-0.033865402,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
PG,平值期权,0.066831121,0.020082653,0.30049853,0.299683646,0.067012844,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
PP,虚值一档,1.221878053,0.334425648,0.273698056,0.145962556,2.291174237,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
PP,平值期权,1.049177803,0.298031152,0.284061625,0.16322983,1.825837538,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
RB,虚值一档,-1.351952505,-0.060261639,0.044573784,0.027764018,-2.170494124,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
RB,平值期权,-1.267121166,-0.062729541,0.049505558,0.028794749,-2.178506249,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
RU,虚值一档,0.374028353,0.067502785,0.180475047,0.151399781,0.445857877,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
RU,平值期权,0.652688666,0.103105435,0.157970316,0.1171633,0.880014776,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
SC,虚值一档,0.28962316,0.078739452,0.271868631,0.2722694,0.289196847,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
SC,平值期权,0.535586731,0.148691698,0.27762394,0.258261816,0.575740156,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
V,虚值一档,-0.338793751,-0.089252492,0.263441968,0.460856786,-0.193666439,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
V,平值期权,0.043991534,0.009544511,0.216962448,0.320174836,0.029810309,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
Y,虚值一档,2.549953088,0.208821185,0.081892167,0.034352334,6.078806292,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
Y,平值期权,2.768023079,0.255625487,0.092349478,0.03232077,7.909016028,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
ZN,虚值一档,0.933372483,0.161607458,0.173143585,0.138702941,1.165133602,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
ZN,平值期权,0.963881526,0.159111519,0.16507373,0.132781994,1.198291381,20,1,inf,5,5,ma_signal,True,"(5, 20)",False,True
PP,虚值一档,0.99410478,0.133135904,0.133925424,0.126054755,1.056175183,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
PP,平值期权,0.870122348,0.118140786,0.135774913,0.135129039,0.874281255,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
RB,虚值一档,-0.466650529,-0.020028227,0.042919112,0.02452699,-0.816579066,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
RB,平值期权,-0.9736578,-0.042834305,0.043993182,0.025041872,-1.710507339,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
RU,虚值一档,1.740042486,0.149466298,0.085898074,0.05312905,2.813268812,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
RU,平值期权,1.930577118,0.16335961,0.084616983,0.054214184,3.013226409,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
SC,虚值一档,0.398557041,0.080567374,0.202147662,0.269091082,0.299405589,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
SC,平值期权,0.707089807,0.134785963,0.190620712,0.258190985,0.52203977,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
V,虚值一档,0.005309382,0.00112641,0.212154588,0.305506526,0.003687023,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
V,平值期权,0.06051797,0.011272611,0.186268816,0.298761099,0.037731186,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
Y,虚值一档,2.578474067,0.167885191,0.065110289,0.025002352,6.714775839,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
Y,平值期权,2.234421473,0.159323551,0.071304162,0.027311538,5.833562046,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
ZN,虚值一档,0.43999589,0.062963198,0.143099515,0.164280154,0.383267224,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
ZN,平值期权,0.54196739,0.068549183,0.126482118,0.13034711,0.525897224,20,1,inf,5,5,ma_signal,False,"(5, 20)",False,True
A,虚值一档,0.945556288,0.127503031,0.134844464,0.067907436,1.877600437,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
A,平值期权,0.808988897,0.115353445,0.142589651,0.069603665,1.6572898,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AG,虚值一档,6.074553515,0.240882013,0.039654275,0.005558602,43.3349979,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AG,平值期权,5.910730132,0.239195893,0.040468079,0.006259298,38.21448939,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AL,虚值一档,-0.333033715,-0.05784488,0.173690764,0.34534375,-0.167499428,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AL,平值期权,-0.598652576,-0.100973525,0.168667987,0.39034004,-0.258680931,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AU,虚值一档,1.131520498,0.083035387,0.0733839,0.074842299,1.109471347,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AU,平值期权,1.15847945,0.087718663,0.075718791,0.07272697,1.206136634,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
B,虚值一档,1.65237848,0.340989103,0.20636259,0.028143737,12.1159855,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
B,平值期权,2.625041278,0.522891096,0.199193476,0.025197007,20.75211113,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
C,虚值一档,0.404744032,0.041835009,0.103361646,0.119090383,0.351287891,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
C,平值期权,-0.175301505,-0.019387702,0.110596323,0.190177093,-0.101945516,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
