品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,波动率溢价均线回望窗口,标的涨跌幅布林带计算回望窗口,标的涨跌幅布林带标准倍数,持有天数,标的涨跌幅止盈止损
L,平值期权,0.361131082160063,0.0224793391521003,0.062247035114349,0.0536301398867274,0.4191549602439794,30,20,1,inf,lim_up
M,虚值一档,-0.2301154462569863,-0.012542186833526,0.0545038894065341,0.0955344456954289,-0.1312844465912482,30,20,1,inf,lim_up
M,平值期权,-0.2300901063475617,-0.0124763583697822,0.0542237933122432,0.0928966409316048,-0.1343036545203821,30,20,1,inf,lim_up
P,虚值一档,-0.6340204545566556,-0.1020320051470581,0.1609285700701958,0.2363052543110654,-0.431780518146017,30,20,1,inf,lim_up
P,平值期权,-0.6122188728136623,-0.0601951241983169,0.0983228823405419,0.1570653777969608,-0.3832488422504637,30,20,1,inf,lim_up
PG,虚值一档,0.5904670933651923,0.0605435484081666,0.1025350084508801,0.106529806434192,0.5683249640143385,30,20,1,inf,lim_up
PG,平值期权,-0.4479973340845736,-0.056913380882648,0.127039552587837,0.1971622167263325,-0.2886627155427331,30,20,1,inf,lim_up
PP,虚值一档,-0.9113638922342652,-0.0790525262311946,0.0867409021849575,0.1668861058347556,-0.4736914786031946,30,20,1,inf,lim_up
PP,平值期权,-0.7696802326514819,-0.0706582162187178,0.0918020409271866,0.1525206458769513,-0.4632698465998013,30,20,1,inf,lim_up
RB,虚值一档,,0.0,0.0,0.0,,30,20,1,inf,lim_up
RB,平值期权,,0.0,0.0,0.0,,30,20,1,inf,lim_up
RU,虚值一档,-0.2996718162498934,-0.0151802177345791,0.0506561408561707,0.0719886631139948,-0.2108695602603575,30,20,1,inf,lim_up
RU,平值期权,-0.4872794905571588,-0.0258971542878014,0.0531464073281442,0.0995996625010624,-0.2600124702985328,30,20,1,inf,lim_up
SC,虚值一档,-1.6984294192421552,-0.1700356804460627,0.1001134804423802,0.3079793609526089,-0.5521008937745908,30,20,1,inf,lim_up
SC,平值期权,-1.160722194665146,-0.1214764998626836,0.1046559636931282,0.2666138041641058,-0.4556271954617646,30,20,1,inf,lim_up
V,虚值一档,0.3822934289501182,0.0360805379682,0.0943791737861858,0.1014440199314865,0.3556694420486119,30,20,1,inf,lim_up
V,平值期权,0.6085596157757622,0.0626545457022635,0.1029554772910695,0.0804310141959094,0.7789849018893755,30,20,1,inf,lim_up
Y,虚值一档,0.904679527304618,0.030537234478001,0.0337547535412711,0.027990058451405,1.0910028834351428,30,20,1,inf,lim_up
Y,平值期权,0.2859872813353528,0.01197639020674,0.0418773525550473,0.0391642752603195,0.3057988467074821,30,20,1,inf,lim_up
ZN,虚值一档,-0.3188799623720433,-0.0207842900473699,0.0651790407047291,0.1137358405045186,-0.1827417809124482,30,20,1,inf,lim_up
ZN,平值期权,-0.3332715031931293,-0.0196114993135885,0.0588454132012114,0.1098760250275796,-0.1784875209006325,30,20,1,inf,lim_up
A,虚值一档,-0.3666864702947247,-0.0165672220562707,0.0451808926654827,0.0241639230380031,-0.6856180608676427,30,20,1,inf,False
A,平值期权,-0.7891961220334414,-0.0376591543467946,0.0477183722719799,0.0251345836384726,-1.4983003056056632,30,20,1,inf,False
AG,虚值一档,,0.0,0.0,0.0,,30,20,1,inf,False
AG,平值期权,,0.0,0.0,0.0,,30,20,1,inf,False
AL,虚值一档,-0.793839558170012,-0.0538387519998912,0.0678206968219148,0.1417203188736701,-0.3798943752580974,30,20,1,inf,False
AL,平值期权,-1.0349551908839614,-0.0728544116596922,0.0703937835197163,0.1595303178625909,-0.4566806650660865,30,20,1,inf,False
AU,虚值一档,-0.5867117586165902,-0.0283118481108194,0.048255123056637,0.0731349521873273,-0.3871178863739696,30,20,1,inf,False
AU,平值期权,-0.5157541630891997,-0.0213515990060187,0.0413987913895441,0.074179063949088,-0.2878386146888175,30,20,1,inf,False
B,虚值一档,1.176245030076006,0.0187436076626339,0.0159351216654431,0.0027593818984547,6.79268341693864,30,20,1,inf,False
B,平值期权,-2.765179226146194,-0.0138863627966648,0.0050218671778531,0.0033218358062609,-4.1803278688524586,30,20,1,inf,False
C,虚值一档,0.2820371235143983,0.0074332174797623,0.0263554577040736,0.0515069747676248,0.1443147751017696,30,20,1,inf,False
