品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,回望窗口,布林带标准倍数,use_vix,use_vc_vp,use_vix_call_and_vix_put
RU,虚值一档,1.325999553,0.066736959,0.050329549,0.035528332,1.878415226,20,1,TRUE,FALSE,FALSE
RU,平值期权,1.187817103,0.059643281,0.050212512,0.034796525,1.714058552,20,1,TRUE,FALSE,FALSE
SC,虚值一档,1.172989619,0.116182019,0.099047781,0.051243224,2.267265991,20,1,TRUE,FALSE,FALSE
SC,平值期权,1.126711903,0.115918785,0.102882365,0.049642643,2.335064736,20,1,TRUE,FALSE,FALSE
V,虚值一档,1.10894714,0.074516161,0.067195413,0.050461201,1.476702078,20,1,TRUE,FALSE,FALSE
V,平值期权,0.379703654,0.027405946,0.072177199,0.060565814,0.452498597,20,1,TRUE,FALSE,FALSE
Y,虚值一档,1.818852256,0.092822342,0.05103347,0.016874603,5.500712659,20,1,TRUE,FALSE,FALSE
Y,平值期权,1.801442287,0.1022895,0.056782002,0.016947653,6.035614445,20,1,TRUE,FALSE,FALSE
ZN,虚值一档,0.770799893,0.05077735,0.065876176,0.078193728,0.649378804,20,1,TRUE,FALSE,FALSE
ZN,平值期权,0.792444027,0.056747097,0.071610228,0.072613754,0.781492408,20,1,TRUE,FALSE,FALSE
