品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数
I,平值期权,0.5488561721982054,0.0970710891804913,0.1768607043111408,0.292582088997779,0.3317738605018581,3
L,虚值一档,-0.0312371540555433,-0.0028273897826586,0.090513680523879,0.162115488697449,-0.0174405900717809,3
L,平值期权,0.0550509953097945,0.0053465725188272,0.097120360653607,0.1582323223935366,0.0337893828387977,3
M,虚值一档,0.3574162693678585,0.0283997773295201,0.0794585466961232,0.125752069774337,0.2258394424877757,3
M,平值期权,0.1430513569845673,0.0114086672033229,0.0797522473313811,0.1450831612564664,0.0786353640527281,3
P,虚值一档,-0.4407953327241979,-0.0675495929300744,0.1532448007391667,0.2691119062140322,-0.2510093064271572,3
P,平值期权,-0.8658586431031471,-0.1136574021976001,0.1312655398232947,0.250904938187045,-0.4529898973645173,3
PG,虚值一档,-0.9646116398815464,-0.1569030462000883,0.1626592917947329,0.4089850624861075,-0.3836400411455566,3
PG,平值期权,-0.8415478219573633,-0.1441264577312402,0.1712635384118935,0.3697895328551066,-0.3897526698996988,3
PP,虚值一档,0.6038837615994294,0.0623908254897865,0.1033159516072098,0.0761546226488933,0.819265112473026,3
PP,平值期权,0.3844050730133356,0.0452412715773128,0.1176916610976759,0.1218345500555461,0.3713336779812191,3
RB,虚值一档,0.1721790948907674,0.0090086686878862,0.0523215010138217,0.0295957255611813,0.3043908712176407,3
RB,平值期权,0.3690334205238315,0.0220896878886656,0.0598582314233493,0.0315804954716488,0.699472492712995,3
RU,虚值一档,0.2905216463000161,0.0250690507119094,0.0862897860836885,0.0682428073248802,0.367350812409642,3
RU,平值期权,0.1218807848543681,0.0123033927718204,0.1009461235954582,0.081202329408067,0.1515152688538293,3
SC,虚值一档,0.4741258564157001,0.0736970401369749,0.1554377158295276,0.1346331243973695,0.5473915907905268,3
SC,平值期权,0.3086164932439553,0.0516643935808673,0.1674064565953955,0.1914365800825636,0.2698773325274894,3
V,虚值一档,-0.7798689412241377,-0.1036562387675582,0.1329149467150878,0.2936769645793666,-0.3529600590772417,3
V,平值期权,-0.802209470096585,-0.1125043849397284,0.1402431523604216,0.3164484383962949,-0.3555220101887085,3
Y,虚值一档,1.3310256611570457,0.0932649757712551,0.0700700057804903,0.0353218209758499,2.6404350963395093,3
Y,平值期权,0.4654965581060142,0.035931338184057,0.0771892671564584,0.05211761820931,0.6894278637168884,3
ZN,虚值一档,-0.413202335867649,-0.0391606872113122,0.0947736346385409,0.1308049088130386,-0.2993823975466025,3
ZN,平值期权,-0.4966574291417042,-0.0533873500339619,0.1074933080659298,0.1742759156914783,-0.3063380836195052,3
A,虚值一档,1.3019198432208698,0.0518736195192089,0.0398439426123783,0.021633654474356,2.397820469061225,5
A,平值期权,-0.2589686225936611,-0.0147960675608813,0.0571345957386403,0.0369164124537541,-0.4007991724389979,5
AG,虚值一档,1.6565806044768614,0.1103190460486398,0.0665944329847311,0.0163388658285115,6.751940263572748,5
AG,平值期权,0.3872033895743466,0.0287085075084272,0.0741432236427128,0.0221159724286679,1.2980893153589637,5
AL,虚值一档,0.16177361776498,0.0159035125470325,0.0983072071129468,0.1178033064178387,0.1350005617891922,5
AL,平值期权,0.1785663855772978,0.0182603656621292,0.1022609356351937,0.1191764058145146,0.1532213153881277,5
AU,虚值一档,1.011466772905148,0.0485840753005487,0.0480332884895516,0.0556545822799091,0.8729573255298195,5
AU,平值期权,1.07873808714034,0.0629912942815414,0.05839350165945,0.0499436817090978,1.261246510588483,5
B,虚值一档,0.0491006023101097,0.004610492167583,0.093898892287798,0.0288638796654738,0.1597322404686275,5
B,平值期权,-0.8639308789992421,-0.0864087183105988,0.1000180922004926,0.0460166609136151,-1.8777702813511348,5
C,虚值一档,-0.0656212906867562,-0.0029360018536715,0.0447416047893139,0.0536641574863179,-0.0547106670671219,5
C,平值期权,-0.0750594455540667,-0.0037112065999829,0.0494435653312905,0.068227594866535,-0.0543945101280897,5
CU,虚值一档,0.4200685835126461,0.0340191305987889,0.0809847056742933,0.0979242723300302,0.3474024344458302,5
CU,平值期权,0.4957831559968764,0.045014260913811,0.0907942522236368,0.1034225941422399,0.4352459081803897,5
I,虚值一档,-1.2026726914046095,-0.2170390406478109,0.1804639302105792,0.6310125246830403,-0.3439536176509815,5
I,平值期权,-0.8160133070693291,-0.1500509800538181,0.1838830062621389,0.5803660111524667,-0.2585454302464287,5
L,虚值一档,-0.2107443295047686,-0.0198909970766682,0.094384494820859,0.1715243885292192,-0.1159659990467175,5
L,平值期权,0.1695629577221574,0.0159672865185607,0.0941673035966052,0.1503359481080594,0.1062107015621019,5
M,虚值一档,-0.721965982725355,-0.0647014687295406,0.089618445020496,0.1984753530768844,-0.32599246065821,5
M,平值期权,-0.8211030655198903,-0.0733472855986179,0.0893277454178998,0.2090986136131307,-0.3507784405224384,5
P,虚值一档,-0.2327858622972461,-0.0369911610715741,0.158906390218577,0.2091202125926893,-0.1768894580440347,5
P,平值期权,-0.4809690590444217,-0.0664091597188908,0.1380736628897315,0.2160046891547994,-0.307443139214903,5
PG,虚值一档,-0.0176679785500289,-0.0028009272534559,0.1585312799381572,0.2470856486420142,-0.0113358556793967,5
