品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合
RU,平值期权,0.3523771765211329,0.0276721640179822,0.0785299555753797,0.061096072072049,0.4529286921317825,3,20,"(0.6, 0.4)"
SC,虚值一档,0.7784629696906294,0.1056308826033537,0.1356915957676609,0.1297971345260582,0.8138152124009116,3,20,"(0.6, 0.4)"
SC,平值期权,1.0897863187045993,0.1683646645262844,0.1544932815145038,0.1039456880492903,1.6197368807299346,3,20,"(0.6, 0.4)"
V,虚值一档,-0.6932489071198036,-0.0622709699611285,0.0898248368249749,0.2237745806151273,-0.2782754403558873,3,20,"(0.6, 0.4)"
V,平值期权,-1.0315154824110924,-0.1064598919357602,0.1032072651851215,0.2594494540754279,-0.4103299901521854,3,20,"(0.6, 0.4)"
Y,虚值一档,-1.865431236172148,-0.1136904637424595,0.0609459419022872,0.0741514333697297,-1.533220041419597,3,20,"(0.6, 0.4)"
Y,平值期权,-2.0498894430496746,-0.142983260419325,0.069751693636026,0.0920640063285171,-1.5530853600820913,3,20,"(0.6, 0.4)"
ZN,虚值一档,-0.2908973579892601,-0.0247255145809549,0.0849973844790567,0.1131850068680483,-0.2184522072767119,3,20,"(0.6, 0.4)"
ZN,平值期权,-0.3318960962803045,-0.0292058402230998,0.0879969380490511,0.1201105966388333,-0.2431578981404976,3,20,"(0.6, 0.4)"
A,虚值一档,0.5710365197602081,0.0216488632658866,0.0379115214469602,0.0144023217528411,1.5031509250663675,5,20,"(0.6, 0.4)"
A,平值期权,0.6034888226435001,0.0294379600921951,0.0487796277041987,0.0150938008684741,1.9503344683499275,5,20,"(0.6, 0.4)"
AG,虚值一档,2.6323554815249324,0.1220003327297897,0.0463464503886513,0.0069035613825826,17.672086328889737,5,20,"(0.6, 0.4)"
AG,平值期权,2.2117063258375302,0.1191937519679609,0.053892214610737,0.0077998618483672,15.281520914746997,5,20,"(0.6, 0.4)"
AL,虚值一档,-0.1668813651379323,-0.0163776036201126,0.0981391997037898,0.1173323612242436,-0.1395830054831337,5,20,"(0.6, 0.4)"
AL,平值期权,-0.0666274730025461,-0.0068711495849232,0.1031278731621814,0.0943131257259668,-0.0728546480888337,5,20,"(0.6, 0.4)"
AU,虚值一档,0.7484604816507688,0.0363711835970035,0.048594661292985,0.0523465267168762,0.6948156043613427,5,20,"(0.6, 0.4)"
AU,平值期权,0.5823043723882457,0.028527669941004,0.0489909938749069,0.0440758221111463,0.6472407904058062,5,20,"(0.6, 0.4)"
B,虚值一档,1.238154159661392,0.0909084359276872,0.0734225501875701,0.0189581327879443,4.795220971629485,5,20,"(0.6, 0.4)"
B,平值期权,1.1428081734120763,0.0861588507864532,0.0753922248641337,0.0215031069355778,4.006809390130478,5,20,"(0.6, 0.4)"
C,虚值一档,0.9632382887514824,0.0329987878866125,0.0342581771011038,0.0321796212448554,1.025456068470293,5,20,"(0.6, 0.4)"
C,平值期权,0.9170455052233908,0.0352666938296102,0.0384568635130263,0.0370373562056134,0.95219252783127,5,20,"(0.6, 0.4)"
CU,虚值一档,-0.3817960511060815,-0.0306441594515438,0.0802631650137979,0.1280678909579016,-0.2392805817472016,5,20,"(0.6, 0.4)"
CU,平值期权,-0.4013255485334463,-0.0353201257933411,0.0880086650909981,0.1523630416472746,-0.2318155729334179,5,20,"(0.6, 0.4)"
